timestamp,avg_high_price,avg_low_price,high_price_volume,low_price_volume
2024-07-25 20:40:00,230.0,228,35801,71350
2024-07-25 20:45:00,228.0,226,32743,110927
2024-07-25 20:50:00,229.0,225,83421,97785
2024-07-25 20:55:00,229.0,225,225807,155654
2024-07-25 21:00:00,229.0,225,142965,50890
2024-07-25 21:05:00,230.0,226,168128,103693
2024-07-25 21:10:00,229.0,225,249476,131730
2024-07-25 21:15:00,229.0,225,212081,93884
2024-07-25 21:20:00,227.0,224,260064,174541
2024-07-25 21:25:00,229.0,225,352965,59545
2024-07-25 21:30:00,229.0,225,242657,22096
2024-07-25 21:35:00,230.0,227,183972,40276
2024-07-25 21:40:00,230.0,227,128975,54205
2024-07-25 21:45:00,230.0,227,57528,45629
2024-07-25 21:50:00,230.0,226,48155,99818
2024-07-25 21:55:00,230.0,226,83798,168807
2024-07-25 22:00:00,230.0,226,219534,72849
2024-07-25 22:05:00,229.0,227,48486,110107
2024-07-25 22:10:00,229.0,226,195676,91547
2024-07-25 22:15:00,229.0,224,29219,412242
2024-07-25 22:20:00,230.0,225,277388,192945
2024-07-25 22:25:00,230.0,226,117928,142664
2024-07-25 22:30:00,229.0,225,285160,269079
2024-07-25 22:35:00,229.0,225,172224,23997
2024-07-25 22:40:00,228.0,226,175882,135509
2024-07-25 22:45:00,227.0,224,419459,47833
2024-07-25 22:50:00,228.0,225,251385,68139
2024-07-25 22:55:00,228.0,227,143856,131066
2024-07-25 23:00:00,229.0,225,192868,23565
2024-07-25 23:05:00,230.0,228,170800,24570
2024-07-25 23:10:00,228.0,227,85880,143099
2024-07-25 23:15:00,231.0,227,118203,62259
2024-07-25 23:20:00,231.0,227,89794,29373
2024-07-25 23:25:00,229.0,228,75557,95006
2024-07-25 23:30:00,230.0,227,64014,125883
2024-07-25 23:35:00,230.0,227,37058,123156
2024-07-25 23:40:00,229.0,225,177054,144083
2024-07-25 23:45:00,229.0,225,221631,14441
2024-07-25 23:50:00,229.0,225,184231,265816
2024-07-25 23:55:00,228.0,225,53732,76485
2024-07-26 00:00:00,227.0,225,67273,32919
2024-07-26 00:05:00,226.0,226,125711,57444
2024-07-26 00:10:00,228.0,226,49040,16117
2024-07-26 00:15:00,229.0,224,103212,229193
2024-07-26 00:20:00,228.0,225,64278,24819
2024-07-26 00:25:00,225.0,226,120294,101410
2024-07-26 00:30:00,226.0,225,76585,94942
2024-07-26 00:35:00,226.0,225,9805,10398
2024-07-26 00:40:00,221.0,221,370580,69286
2024-07-26 00:45:00,221.0,220,452929,51510
2024-07-26 00:50:00,221.0,220,296700,16476
2024-07-26 00:55:00,221.0,220,551732,18278
2024-07-26 01:00:00,221.0,220,463777,27302
2024-07-26 01:05:00,221.0,220,478136,30158
2024-07-26 01:10:00,221.0,220,205320,19931
2024-07-26 01:15:00,221.0,220,289556,38997
2024-07-26 01:20:00,225.0,221,171032,77751
2024-07-26 01:25:00,229.0,226,112113,55611
2024-07-26 01:30:00,230.0,226,4934,119665
2024-07-26 01:35:00,225.0,221,76009,534771
2024-07-26 01:40:00,228.0,223,83046,104320
2024-07-26 01:45:00,226.0,224,97081,17593
2024-07-26 01:50:00,228.0,225,23860,17904
2024-07-26 01:55:00,228.0,224,76442,109467
2024-07-26 02:00:00,232.0,225,27734,23852
2024-07-26 02:05:00,229.0,225,36675,225110
2024-07-26 02:10:00,227.0,224,46124,199780
2024-07-26 02:15:00,227.0,221,94836,593414
2024-07-26 02:20:00,225.0,222,188139,106607
2024-07-26 02:25:00,225.0,221,78087,9002
2024-07-26 02:30:00,225.0,220,104420,146501
2024-07-26 02:35:00,226.0,221,230653,19188
2024-07-26 02:40:00,228.0,222,214871,56085
2024-07-26 02:45:00,227.0,224,79257,28241
2024-07-26 02:50:00,225.0,227,13201,82477
2024-07-26 02:55:00,231.0,228,35243,102658
2024-07-26 03:00:00,225.0,225,478712,193981
2024-07-26 03:05:00,225.0,222,141256,60517
2024-07-26 03:10:00,224.0,221,235483,160137
2024-07-26 03:15:00,222.0,220,486543,19792
2024-07-26 03:20:00,223.0,220,270287,110819
2024-07-26 03:25:00,225.0,220,251087,261024
2024-07-26 03:30:00,224.0,220,166065,20220
2024-07-26 03:35:00,225.0,220,207644,49284
2024-07-26 03:40:00,224.0,220,200637,53203
2024-07-26 03:45:00,224.0,220,551304,42173
2024-07-26 03:50:00,224.0,219,250764,214530
2024-07-26 03:55:00,225.0,220,181633,23581
2024-07-26 04:00:00,225.0,220,195676,32943
2024-07-26 04:05:00,224.0,220,137761,78021
2024-07-26 04:10:00,225.0,220,108989,63100
2024-07-26 04:15:00,224.0,220,131150,18817
2024-07-26 04:20:00,223.0,219,132740,57086
2024-07-26 04:25:00,225.0,220,108986,40679
2024-07-26 04:30:00,224.0,219,230691,58260
2024-07-26 04:35:00,225.0,219,241906,41303
2024-07-26 04:40:00,224.0,221,162783,66279
2024-07-26 04:45:00,225.0,220,214830,66416
2024-07-26 04:50:00,224.0,220,251639,21221
2024-07-26 04:55:00,225.0,221,172577,46645
2024-07-26 05:00:00,224.0,221,168032,249686
2024-07-26 05:05:00,225.0,221,294098,81831
2024-07-26 05:10:00,225.0,221,162734,80229
2024-07-26 05:15:00,225.0,222,130037,36395
2024-07-26 05:20:00,223.0,220,207734,108266
2024-07-26 05:25:00,224.0,220,359258,48438
2024-07-26 05:30:00,223.0,220,166018,31974
2024-07-26 05:35:00,224.0,221,122425,76982
2024-07-26 05:40:00,222.0,222,290226,83913
2024-07-26 05:45:00,222.0,219,376741,24731
2024-07-26 05:50:00,222.0,219,344633,32509
2024-07-26 05:55:00,222.0,219,337341,112600
2024-07-26 06:00:00,222.0,219,394182,22413
